watershed,month,year,baseline,max_eff,habitat_type,proportion_change
Upper Sacramento River,6,1987,32.22980725255319,338.9871937477019,spawning,9.517816352154819
Upper Sacramento River,7,1987,38.05353420158017,338.9871937477019,spawning,7.908165847408346
Upper Sacramento River,8,1987,58.59991354731886,315.4237475008357,spawning,4.382665748237565
Upper Sacramento River,9,1987,66.89906798110351,315.4237475008357,spawning,3.7149199087486706
Upper Sacramento River,10,1987,66.5557739321682,343.3691416948747,spawning,4.159118757221981
Upper Sacramento River,11,1987,59.9231876774315,335.5617370843854,spawning,4.599864594833061
Upper Sacramento River,12,1987,63.239218818668476,335.5617370843854,spawning,4.3062283714568315
Upper Sacramento River,1,1988,63.20706770278867,78.04136271464702,spawning,0.23469361182220874
Upper Sacramento River,2,1988,63.19501103433375,78.04136271464702,spawning,0.23492917300461058
Upper Sacramento River,3,1988,61.10321146953771,78.04136271464702,spawning,0.277205581142877
Upper Sacramento River,4,1988,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1988,56.498258883168546,338.9871937477019,spawning,4.999958236742937
Upper Sacramento River,6,1988,44.10600607505442,338.9871937477019,spawning,6.685737701365508
Upper Sacramento River,7,1988,46.58222828454114,338.9871937477019,spawning,6.277178577139875
Upper Sacramento River,8,1988,63.22982826335569,315.4237475008357,spawning,3.9885276643023375
Upper Sacramento River,9,1988,67.17386974117532,315.4237475008357,spawning,3.695631630516167
Upper Sacramento River,10,1988,65.79469676284148,343.3691416948747,spawning,4.218796629347754
Upper Sacramento River,11,1988,63.49642774570696,335.5617370843854,spawning,4.284734102338112
Upper Sacramento River,12,1988,63.27940771351824,335.5617370843854,spawning,4.302858373826089
Upper Sacramento River,1,1989,63.319596608367995,78.04136271464702,spawning,0.23249936662315177
Upper Sacramento River,2,1989,65.08785943526473,78.04136271464702,spawning,0.19901565962951387
Upper Sacramento River,3,1989,64.72113671989516,78.04136271464702,spawning,0.20580951864921823
Upper Sacramento River,4,1989,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1989,50.66309695838202,338.9871937477019,spawning,5.69100813213547
Upper Sacramento River,6,1989,58.58032170309499,338.9871937477019,spawning,4.786707616011473
Upper Sacramento River,7,1989,37.74282146430917,338.9871937477019,spawning,7.981501133089881
Upper Sacramento River,8,1989,56.89650327723038,315.4237475008357,spawning,4.543816040221689
Upper Sacramento River,9,1989,63.73319250413186,315.4237475008357,spawning,3.949128313011883
Upper Sacramento River,10,1989,62.744669961244014,343.3691416948747,spawning,4.472483031737456
Upper Sacramento River,11,1989,64.4485191934519,335.5617370843854,spawning,4.206663260596361
Upper Sacramento River,12,1989,65.14712538073303,335.5617370843854,spawning,4.150829528137956
Upper Sacramento River,1,1990,63.295483271458146,78.04136271464702,spawning,0.2329689052210498
Upper Sacramento River,2,1990,63.2351999291835,78.04136271464702,spawning,0.23414431838667074
Upper Sacramento River,3,1990,63.30352105042811,78.04136271464702,spawning,0.23281235260955904
Upper Sacramento River,4,1990,65.45411697914555,89.45576287534323,spawning,0.36669421273905317
Upper Sacramento River,5,1990,66.47334320666596,338.9871937477019,spawning,4.099595979305404
Upper Sacramento River,6,1990,54.02242626466357,338.9871937477019,spawning,5.274934637088591
Upper Sacramento River,7,1990,49.69026095611841,338.9871937477019,spawning,5.8220046992118295
Upper Sacramento River,8,1990,54.3247081541322,315.4237475008357,spawning,4.806266765500203
Upper Sacramento River,9,1990,65.6937133533789,315.4237475008357,spawning,3.8014297167844933
Upper Sacramento River,10,1990,66.36044385621055,343.3691416948747,spawning,4.174304476306474
Upper Sacramento River,11,1990,61.36816664561121,335.5617370843854,spawning,4.4680098074656
Upper Sacramento River,12,1990,65.55393846380186,335.5617370843854,spawning,4.118864631904288
Upper Sacramento River,1,1991,65.20746752378165,78.04136271464702,spawning,0.19681634141342416
Upper Sacramento River,2,1991,65.03526587176968,78.04136271464702,spawning,0.19998529518617666
Upper Sacramento River,3,1991,63.27940771351824,78.04136271464702,spawning,0.23328212975633175
Upper Sacramento River,4,1991,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1991,65.2264938049514,338.9871937477019,spawning,4.197078272540368
Upper Sacramento River,6,1991,63.67503688937616,338.9871937477019,spawning,4.323706279693732
Upper Sacramento River,7,1991,61.00713433928936,338.9871937477019,spawning,4.55651724046625
Upper Sacramento River,8,1991,66.27112393880809,315.4237475008357,spawning,3.759595563704102
Upper Sacramento River,9,1991,65.50652840365782,315.4237475008357,spawning,3.815149805484467
Upper Sacramento River,10,1991,64.77651213366553,343.3691416948747,spawning,4.300827883204589
Upper Sacramento River,11,1991,64.3202299594478,335.5617370843854,spawning,4.2170481557038615
Upper Sacramento River,12,1991,63.27136993454829,335.5617370843854,spawning,4.303532030861836
Upper Sacramento River,1,1992,63.25529437660839,78.04136271464702,spawning,0.23375226506741978
Upper Sacramento River,2,1992,63.2673510450633,78.04136271464702,spawning,0.2335171526157412
Upper Sacramento River,3,1992,63.04229323390467,78.04136271464702,spawning,0.2379207467135051
Upper Sacramento River,4,1992,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1992,49.397509381363164,338.9871937477019,spawning,5.862434928259681
Upper Sacramento River,6,1992,49.379493899839765,338.9871937477019,spawning,5.864938600531139
Upper Sacramento River,7,1992,48.469712082908046,338.9871937477019,spawning,5.993794251714557
Upper Sacramento River,8,1992,58.555831897815146,315.4237475008357,spawning,4.386717894321383
Upper Sacramento River,9,1992,65.92495385079673,315.4237475008357,spawning,3.7845880668299277
Upper Sacramento River,10,1992,67.23725131057262,343.3691416948747,spawning,4.106828952730883
Upper Sacramento River,11,1992,65.0230484333937,335.5617370843854,spawning,4.160658338375473
Upper Sacramento River,12,1992,63.295483271458146,335.5617370843854,spawning,4.301511573033528
Upper Sacramento River,1,1993,63.19501103433375,36.71138985926659,spawning,-0.4190777205605464
Upper Sacramento River,2,1993,63.02219878647978,36.71138985926659,spawning,-0.4174847820901113
Upper Sacramento River,3,1993,22.292852398505183,36.71138985926659,spawning,0.6467784921829125
Upper Sacramento River,4,1993,66.71387770422317,38.8779882317468,spawning,-0.4172428650585586
Upper Sacramento River,5,1993,44.84655851153643,225.61357068895924,spawning,4.0307889429446835
Upper Sacramento River,6,1993,51.55936716417117,225.61357068895924,spawning,3.375801781479954
Upper Sacramento River,7,1993,33.86362548003411,225.61357068895924,spawning,5.6624163092631745
Upper Sacramento River,8,1993,50.13164025344172,315.4237475008357,spawning,5.2919095785855665
Upper Sacramento River,9,1993,51.343181385890375,315.4237475008357,spawning,5.143439868483049
Upper Sacramento River,10,1993,67.20012787217023,343.3691416948747,spawning,4.1096501237027425
Upper Sacramento River,11,1993,48.36688853190707,335.5617370843854,spawning,5.937840065172256
Upper Sacramento River,12,1993,64.03635172624617,335.5617370843854,spawning,4.240175744534973
Upper Sacramento River,1,1994,63.36380439270274,78.04136271464702,spawning,0.2316394740280875
Upper Sacramento River,2,1994,63.38791772961259,78.04136271464702,spawning,0.23117094723855966
Upper Sacramento River,3,1994,63.066406570814515,78.04136271464702,spawning,0.23744742975038197
Upper Sacramento River,4,1994,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1994,67.02157258140498,338.9871937477019,spawning,4.057881823586952
Upper Sacramento River,6,1994,44.111791640964434,338.9871937477019,spawning,6.684729663823069
Upper Sacramento River,7,1994,46.86572101413191,338.9871937477019,spawning,6.233158615984667
Upper Sacramento River,8,1994,51.888149701973234,315.4237475008357,spawning,5.078916849271281
Upper Sacramento River,9,1994,65.67724024484028,315.4237475008357,spawning,3.8026340072292544
Upper Sacramento River,10,1994,65.39421820827441,343.3691416948747,spawning,4.250756888036744
Upper Sacramento River,11,1994,65.07843238044714,335.5617370843854,spawning,4.156266443584545
Upper Sacramento River,12,1994,63.27538882403327,335.5617370843854,spawning,4.303195180950548
Upper Sacramento River,1,1995,9.435265969226556,36.71138985926659,spawning,2.890869635154117
Upper Sacramento River,2,1995,58.78750146161236,36.71138985926659,spawning,-0.3755238962955629
Upper Sacramento River,3,1995,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,4,1995,60.05950594199772,38.8779882317468,spawning,-0.3526755236832435
Upper Sacramento River,5,1995,36.92192897459998,225.61357068895924,spawning,5.110557518383385
Upper Sacramento River,6,1995,54.78053005094997,225.61357068895924,spawning,3.118499227355446
Upper Sacramento River,7,1995,38.375149140158904,225.61357068895924,spawning,4.879158146459389
Upper Sacramento River,8,1995,36.12033690674214,315.4237475008357,spawning,7.73258043841666
Upper Sacramento River,9,1995,43.30759797947225,315.4237475008357,spawning,6.28333507783891
Upper Sacramento River,10,1995,56.86771452585242,343.3691416948747,spawning,5.038033083583427
Upper Sacramento River,11,1995,57.159208391491795,335.5617370843854,spawning,4.870650530813406
Upper Sacramento River,12,1995,65.7433300201289,335.5617370843854,spawning,4.104118349065147
Upper Sacramento River,1,1996,65.82431632613081,36.71138985926659,spawning,-0.44228224601106914
Upper Sacramento River,2,1996,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,3,1996,40.00626681660537,36.71138985926659,spawning,-0.08235902071150457
Upper Sacramento River,4,1996,61.93833308324854,38.8779882317468,spawning,-0.37231135717694186
Upper Sacramento River,5,1996,37.470266431615336,225.61357068895924,spawning,5.0211360146240915
Upper Sacramento River,6,1996,63.1760961878015,225.61357068895924,spawning,2.57118569052265
Upper Sacramento River,7,1996,39.950517229129325,225.61357068895924,spawning,4.64732539994392
Upper Sacramento River,8,1996,55.543431962466045,315.4237475008357,spawning,4.678866723863697
Upper Sacramento River,9,1996,56.167188242321934,315.4237475008357,spawning,4.615800921705462
Upper Sacramento River,10,1996,60.688703767381725,343.3691416948747,spawning,4.65787568986479
Upper Sacramento River,11,1996,56.71905003487356,335.5617370843854,spawning,4.916208696691255
Upper Sacramento River,12,1996,7.208849400428299,335.5617370843854,spawning,45.54858472483122
Upper Sacramento River,1,1997,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,2,1997,65.5455210612984,36.71138985926659,spawning,-0.43991001574411215
Upper Sacramento River,3,1997,65.49922534752959,36.71138985926659,spawning,-0.43951413677824175
Upper Sacramento River,4,1997,65.75698506572041,38.8779882317468,spawning,-0.40876260989018226
Upper Sacramento River,5,1997,54.80452067709828,225.61357068895924,spawning,3.1166963582848863
Upper Sacramento River,6,1997,55.53383571200671,225.61357068895924,spawning,3.062632587796927
Upper Sacramento River,7,1997,30.61564338097262,225.61357068895924,spawning,6.369225199075068
Upper Sacramento River,8,1997,59.04562800341207,315.4237475008357,spawning,4.342033917949155
Upper Sacramento River,9,1997,55.49545071016944,315.4237475008357,spawning,4.68377666032785
Upper Sacramento River,10,1997,64.39544866245909,343.3691416948747,spawning,4.332195812388992
Upper Sacramento River,11,1997,63.68573604874303,335.5617370843854,spawning,4.269025026696044
Upper Sacramento River,12,1997,63.227162150213566,335.5617370843854,spawning,4.3072402061501025
Upper Sacramento River,1,1998,10.9168380573648,36.71138985926659,spawning,2.3628226109390784
Upper Sacramento River,2,1998,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,3,1998,15.513565598640534,36.71138985926659,spawning,1.3664056870642065
Upper Sacramento River,4,1998,61.93833308324854,38.8779882317468,spawning,-0.37231135717694186
Upper Sacramento River,5,1998,19.65125060997442,225.61357068895924,spawning,10.480875958827992
Upper Sacramento River,6,1998,17.809248009167277,225.61357068895924,spawning,11.668337853053934
Upper Sacramento River,7,1998,24.995243395237463,225.61357068895924,spawning,8.026260201648892
Upper Sacramento River,8,1998,30.186529674122525,315.4237475008357,spawning,9.4491556633366
Upper Sacramento River,9,1998,37.63379945123164,315.4237475008357,spawning,7.381395237799006
Upper Sacramento River,10,1998,51.00539110732662,343.3691416948747,spawning,5.732016640600797
Upper Sacramento River,11,1998,38.884546071439395,335.5617370843854,spawning,7.6296940812395055
Upper Sacramento River,12,1998,37.06993803414668,335.5617370843854,spawning,8.05212565435867
Upper Sacramento River,1,1999,55.47921764503436,36.71138985926659,spawning,-0.33828573261158046
Upper Sacramento River,2,1999,10.798958406842793,36.71138985926659,spawning,2.3995306284358224
Upper Sacramento River,3,1999,28.692757967111145,36.71138985926659,spawning,0.27946535851822746
Upper Sacramento River,4,1999,64.07784356019738,38.8779882317468,spawning,-0.39326940371794494
Upper Sacramento River,5,1999,50.811724680950064,225.61357068895924,spawning,3.440187222645968
Upper Sacramento River,6,1999,60.27076364175294,225.61357068895924,spawning,2.74333353448112
Upper Sacramento River,7,1999,31.779201701469997,225.61357068895924,spawning,6.099409633015519
Upper Sacramento River,8,1999,53.09638809533903,315.4237475008357,spawning,4.9405876522987935
Upper Sacramento River,9,1999,48.839029454137744,315.4237475008357,spawning,5.458436030081928
Upper Sacramento River,10,1999,54.387083782117784,343.3691416948747,spawning,5.313431752848879
Upper Sacramento River,11,1999,56.872891790584795,335.5617370843854,spawning,4.900205291476617
Upper Sacramento River,12,1999,65.70334735823764,335.5617370843854,spawning,4.107224374045746
Upper Sacramento River,1,2000,45.22646823267831,36.71138985926659,spawning,-0.1882764386908099
Upper Sacramento River,2,2000,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,3,2000,56.90707884740951,36.71138985926659,spawning,-0.3548888714231069
Upper Sacramento River,4,2000,66.63511862095223,38.8779882317468,spawning,-0.41655407784443704
Upper Sacramento River,5,2000,59.11909741925161,225.61357068895924,spawning,2.8162553309802423
Upper Sacramento River,6,2000,42.15276189329558,225.61357068895924,spawning,4.352284418754615
Upper Sacramento River,7,2000,24.081162847332422,225.61357068895924,spawning,8.368881898240701
Upper Sacramento River,8,2000,43.93822466366396,315.4237475008357,spawning,6.1788004616783
Upper Sacramento River,9,2000,57.29954579652188,315.4237475008357,spawning,4.504821078703596
Upper Sacramento River,10,2000,62.692507507813765,343.3691416948747,spawning,4.4770363372701025
Upper Sacramento River,11,2000,44.30367090028037,335.5617370843854,spawning,6.574129417846091
Upper Sacramento River,12,2000,65.2767305330338,335.5617370843854,spawning,4.140602697841489
Upper Sacramento River,1,1980,5.360952687607543,690.4223915287015,floodplain rearing,127.78725699719233
Upper-mid Sacramento River,1,1980,500.0029811871396,48108.24551780634,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,1,1980,1815.2332971961996,3096.348015508033,floodplain rearing,0.7057576126939918
Lower Sacramento River,1,1980,57.879514229468896,5023.732999639753,floodplain rearing,85.79639189303974
Upper Sacramento River,2,1980,87.08114681326037,11214.942034249598,floodplain rearing,127.78725699719232
Upper-mid Sacramento River,2,1980,1275.6896494393611,122741.64988784988,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,2,1980,2248.881446002421,3836.0466465649006,floodplain rearing,0.7057576126939913
Lower Sacramento River,2,1980,60.567266276885775,5257.020179658669,floodplain rearing,85.79639189303977
Upper Sacramento River,3,1980,0,0,floodplain rearing,NA
Upper-mid Sacramento River,3,1980,32.63891691538979,3140.383332660899,floodplain rearing,95.21591736030175
Lower-mid Sacramento River,3,1980,1144.9800298279338,1953.0584022615917,floodplain rearing,0.7057576126939917
Lower Sacramento River,3,1980,3.5834754279095087,311.03273757991207,floodplain rearing,85.79639189303977
Upper Sacramento River,4,1980,0,0,floodplain rearing,NA
Upper-mid Sacramento River,4,1980,0.1405893625371476,13.526934487611697,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,4,1980,37.97133783275961,64.76989857240507,floodplain rearing,0.7057576126939914
Lower Sacramento River,4,1980,0,0,floodplain rearing,NA
Upper Sacramento River,5,1980,0.03492544100751624,4.497951746775274,floodplain rearing,127.78725699719234
Upper-mid Sacramento River,5,1980,0.14322802182451852,13.78081551154737,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,5,1980,32.0693932319376,54.702611639854744,floodplain rearing,0.7057576126939918
Lower Sacramento River,5,1980,0,0,floodplain rearing,NA
Upper Sacramento River,6,1980,0.7214631410801365,92.91525896428915,floodplain rearing,127.7872569971923
Upper-mid Sacramento River,6,1980,0.1492416240277729,14.359419764173422,floodplain rearing,95.21591736030175
Lower-mid Sacramento River,6,1980,12.939139270771081,22.071035312825554,floodplain rearing,0.7057576126939915
Lower Sacramento River,6,1980,0,0,floodplain rearing,NA
Upper Sacramento River,7,1980,3.1263856430491623,402.63863128370485,floodplain rearing,127.78725699719233
Upper-mid Sacramento River,7,1980,0.14941436463955032,14.376040160600967,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,7,1980,39.810581921912245,67.90720317907962,floodplain rearing,0.7057576126939917
Lower Sacramento River,7,1980,0,0,floodplain rearing,NA
Upper Sacramento River,8,1980,0.6070084423851433,78.17495226892086,floodplain rearing,127.78725699719234
Upper-mid Sacramento River,8,1980,0.14157565570928723,13.621831589955315,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,8,1980,0.787672230770942,1.343577903945193,floodplain rearing,0.7057576126939918
Lower Sacramento River,8,1980,0,0,floodplain rearing,NA
Upper Sacramento River,9,1980,0.032842117073938776,4.229646171933231,floodplain rearing,127.78725699719233
Upper-mid Sacramento River,9,1980,0.13237842545435854,12.736911643803428,floodplain rearing,95.21591736030175
Lower-mid Sacramento River,9,1980,37.18459812863596,63.42791133288755,floodplain rearing,0.7057576126939916
Lower Sacramento River,9,1980,0,0,floodplain rearing,NA
Upper Sacramento River,10,1980,0.033479421199329305,4.3117228221152715,floodplain rearing,127.7872569971923
Upper-mid Sacramento River,10,1980,0.13625078704445417,13.109494466545277,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,10,1980,26.15477794327185,44.61371158505686,floodplain rearing,0.7057576126939917
Lower Sacramento River,10,1980,0,0,floodplain rearing,NA
Upper Sacramento River,11,1980,0.7042753193430707,90.70168654901573,floodplain rearing,127.7872569971923
Upper-mid Sacramento River,11,1980,2.9051010868592453,279.51696609657193,floodplain rearing,95.21591736030175
Lower-mid Sacramento River,11,1980,45.72859217749619,78.00189422454304,floodplain rearing,0.7057576126939915
Lower Sacramento River,11,1980,0,0,floodplain rearing,NA
Upper Sacramento River,12,1980,0,0,floodplain rearing,NA
Upper-mid Sacramento River,12,1980,0.14252071402699146,13.712761242952212,floodplain rearing,95.21591736030177
Lower-mid Sacramento River,12,1980,44.20186080231953,75.39766055879669,floodplain rearing,0.7057576126939916
Lower Sacramento River,12,1980,0,0,floodplain rearing,NA
Upper Sacramento River,1,1981,0,0,floodplain rearing,NA
Upper-mid Sacramento River,1,1981,32.55924588070694,3132.717710971844,floodplain rearing,95.21591736030176
Lower-mid Sacramento River,1,1981,109.36433506167718,186.54904708867224,floodplain rearing,0.7057576126939913
Lower Sacramento River,1,1981,0,0,floodplain rearing,NA
Upper Sacramento River,2,1981,0,0,floodplain rearing,NA
